player,formatted_player,url
Westside,Trent Limited,https://companiesmarketcap.com/trent/marketcap/
Fast Retailing,Fast Retailing,
Amazon,Amazon,
Walmart,Walmart,
Costco,Costco,
Alibaba,Alibaba,
Alphabet Group AdTech,Alphabet (Google),https://companiesmarketcap.com/alphabet-google/marketcap/
Interpublic Group,Interpublic Group,https://companiesmarketcap.com/ipg/marketcap/
Copart,Copart,
Jingdong Mall,Jingdong Mall,
Target,Target,
Home Depot,Home Depot,
Dmart,Dmart,
Miniso,Miniso Group,
LVMH ,LVMH,
Interparfums,Interparfums,
Phillips-Van Heusen,Phillips-Van Heusen,
VFC,VF Corporation,https://companiesmarketcap.com/vf-corp/marketcap/
Sea,Sea (Garena),https://companiesmarketcap.com/sea/marketcap/
Bed Bath & Beyond,Bed Bath & Beyond,https://companiesmarketcap.com/bed-bath-beyond/marketcap/
McDonald,McDonald,
Domino's,Domino's Pizza,https://companiesmarketcap.com/dominos-pizza/marketcap/
Yum China,Yum China,
Wendy's,Wendy�s Company,https://companiesmarketcap.com/wendys-company/marketcap/
Barbeque Nation,Barbeque Nation Hospitality,
Meta Group AdTech,Meta Platforms (Facebook),https://companiesmarketcap.com/meta-platforms/marketcap/
Loreal,L'Or�al,https://companiesmarketcap.com/l-oreal/marketcap/
Estee Lauder,Estee Lauder,
Ulta Beauty,Ulta Beauty,
Spotify,Spotify,
Warner Music,Warner Music Group,
Zee5,Zee Entertainment,
Williams-Sonoma,Williams-Sonoma,
Arhaus,Arhaus,
Best Buy,Best Buy,
Bath and Body Works,Bath and Body Works,https://companiesmarketcap.com/bath-body-works/marketcap/
Gap,Gap Inc.,https://companiesmarketcap.com/gap-inc/marketcap/
Marks & Spencer,Marks & Spencer,https://companiesmarketcap.com/marks-and-spencer/marketcap/
Sephora,LVMH,
Tremor Video,Tremor International,
Zeta Global,Zeta Global,
